No.,Chinese Hospital Name (if applicable),Hospital,Province,City,Department,Doctor's Name,Can HRT Guidance,Can Continue HRT,Can Initial HRT,Evidence Required,MtF HRT Medication,FtM HRT Medication,FTM,MTF,Note
1,瑞金医院（上海交通大学医学院附属）,"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine",,Shanghai,Endocrinlolgy,Hongda Zhu,No,Yes,Not Sure,"diagnosis of ""transsexualism"" and a related medical perscription",Estradiol valerate,Not Sure,not mentioned,Yes,Community report
2,复旦大学附属中山医院东院,"Zhongshan Hospital, Fudan University (East Branch)",,Shanghai,Endocrinology,X.Li,No,Yes,Not Sure,"diagnosis of ""transsexualism"" ",Estradiol valerate,Not Sure,not mentioned,Yes,Community report
3,上海市第九人民医院,Shanghai Ninth People's Hospital,,Shanghai,Plastic Surgery,Chen Cheng,Yes,Yes,Not Sure,"diagnosis of ""transsexualism"" ",Not Sure,Testosterone Undecanoate Soft Capsules,Yes,Yes,Community report
4,上海市第一人民医院,Shanghai General Hospital,,Shanghai,Not Sure,,Unknown,Yes,No,"Requires a medical record stating ""androgen therapy is recommended"" or an existing prescription",,Testosterone Undecanoate Soft Capsules,Yes,Not Sure,
5,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,B. Pan,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
6,北京大学第三医院,Peking University Third Hospital,,Beijing,Endocrinology,Y.Liu,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
7,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,R.Zhao,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
8,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,X.Chang,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
9,北京大学第三医院,Peking University Third Hospital,,Beijing,Gynecolog,Kun Zhang ,Yes,Yes (only after in-person meeting),No,,,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
10,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,Shanshan Du,Yes,Yes (only after in-person meeting),No,,,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
11,北京大学第三医院,Peking University Third Hospital,,Beijing,Reconstructive Surgery (Plastic Surgery,Xu Chang,Yes,Yes (only after in-person meeting),No,,,Testosterone Undecanoate Injection,Yes,Yes,Offer online option
