No.,Chinese Hospital Name (if applicable),Hospital,Province,City,Department,Doctor's Name,Can HRT Guidance,Can Continue HRT,Can Initial HRT,Evidence Required,MtF HRT Medication,FtM HRT Medication,FTM,MTF,Note,latitude,longitude
1.0,瑞金医院（上海交通大学医学院附属）,"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine",,Shanghai,Endocrinlolgy,Hongda Zhu,No,Yes,Not Sure,"diagnosis of ""transsexualism"" and a related medical perscription",Estradiol valerate,Not Sure,not mentioned,Yes,Community report,31.212539,121.471385
2.0,复旦大学附属中山医院东院,"Zhongshan Hospital, Fudan University (East Branch)",,Shanghai,Endocrinology,X.Li,No,Yes,Not Sure,"diagnosis of ""transsexualism"" ",Estradiol valerate,Not Sure,not mentioned,Yes,Community report,33.253321,120.448529
3.0,上海市第九人民医院,Shanghai Ninth People's Hospital,,Shanghai,Plastic Surgery,Chen Cheng,Yes,Yes,Not Sure,"diagnosis of ""transsexualism"" ",Not Sure,Testosterone Undecanoate Soft Capsules,Yes,Yes,Community report,31.186736,121.531773
4.0,上海市第一人民医院,Shanghai General Hospital,,Shanghai,Not Sure,,Unknown,Yes,No,"Requires a medical record stating ""androgen therapy is recommended"" or an existing prescription",,Testosterone Undecanoate Soft Capsules,Yes,Not Sure,,31.038731,121.225148
5.0,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,B. Pan,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option,39.981775,116.360478
6.0,北京大学第三医院,Peking University Third Hospital,,Beijing,Endocrinology,Y.Liu,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option,39.981775,116.360478
7.0,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,R.Zhao,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option,39.981775,116.360478
8.0,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,X.Chang,Yes,Yes,Yes,psychiatry certificate from grade 3 hospitals,Not Sure,Testosterone Undecanoate Injection,Yes,Yes,Offer online option,39.981775,116.360478
9.0,北京大学第三医院,Peking University Third Hospital,,Beijing,Gynecolog,Kun Zhang ,Yes,Yes (only after in-person meeting),No,,,Testosterone Undecanoate Injection,Yes,Yes,Offer online option,39.981775,116.360478
10.0,北京大学第三医院,Peking University Third Hospital,,Beijing,Plastic Surgery,Shanshan Du,Yes,Yes (only after in-person meeting),No,,,Testosterone Undecanoate Injection,Yes,Yes,Offer online option,39.981775,116.360478
